"strain","resistance","UMAP1","UMAP2","UMAP3","UMAP4","UMAP5","UMAP6","UMAP7","UMAP8"
"DA63174","nonHR",10.7015810012817,-2.62730169296265,1.10146677494049,0.417112439870834,-1.18941521644592,0.128475457429886,-1.80195617675781,-0.865321576595306
"DA63176","nonHR",-17.1740913391113,-2.30963182449341,-1.4835193157196,1.86373853683472,4.34967470169067,-0.765176236629486,0.103721894323826,2.1298143863678
"DA63178","nonHR",6.99056959152222,-1.04607355594635,0.181333094835281,-0.127581283450127,-1.1363844871521,-0.415026038885117,-0.343676656484604,-0.602129995822906
"DA63180","HR",-16.5734844207764,-2.29325556755066,-1.36345565319061,1.25161683559418,4.29969263076782,-0.5079106092453,0.331368058919907,2.09676194190979
"DA63182","HR",-0.389197200536728,7.01753616333008,2.42676901817322,-0.0625094771385193,-2.78636169433594,1.17729878425598,3.66327476501465,-2.32416605949402
"DA63184","nonHR",-16.8675422668457,-2.30901384353638,-1.17238223552704,2.24846720695496,4.64606714248657,-0.962854266166687,0.29144024848938,2.27301096916199
"DA63186","HR",11.0771999359131,-0.942241728305817,0.425985366106033,0.386642575263977,-2.62667632102966,0.561522483825684,-1.89112222194672,0.0350280255079269
"DA63188","nonHR",9.25416851043701,-1.42924761772156,0.493785858154297,0.101134993135929,-1.76866865158081,0.948242247104645,-0.8324254155159,-0.720187962055206
"DA63190","nonHR",10.4562835693359,-1.53502082824707,0.498697757720947,-0.020667839795351,-2.32801556587219,-0.0165144000202417,-1.01510071754456,0.0643375143408775
"DA63192","nonHR",9.46387100219727,-1.59872925281525,0.353671997785568,0.256823569536209,-1.69764709472656,0.820238053798676,-1.16399276256561,-0.676200449466705
"DA63194","nonHR",6.55082273483276,-0.609290838241577,0.0347335375845432,-0.440620332956314,-1.50547850131989,-1.07539391517639,0.0107742138206959,-0.385601729154587
"DA63196","nonHR",9.96325969696045,-1.97100579738617,0.579106271266937,-0.043445099145174,-1.67033016681671,-0.128648668527603,-0.606609046459198,-0.361540406942368
"DA63198","nonHR",-16.6437511444092,-2.150230884552,-2.10748505592346,0.808054566383362,3.71368956565857,-0.944893658161163,-0.013569688424468,2.19099903106689
"DA63200","nonHR",-11.0895462036133,1.25297880172729,-3.40170693397522,-3.32039618492126,2.75392031669617,-0.927129507064819,-0.428682088851929,2.79594707489014
"DA63202","HR",-0.799131333827972,6.6572380065918,2.14474105834961,0.206343725323677,-3.13695597648621,0.769035995006561,3.5477557182312,-2.37289595603943
"DA63204","nonHR",10.7062330245972,-2.62035775184631,1.03216671943665,0.159303143620491,-1.06775486469269,0.011437626555562,-1.36602342128754,-0.94232451915741
"DA63210","HR",-0.273373037576675,6.84303855895996,2.6882746219635,-0.0491906516253948,-2.71033477783203,1.11577820777893,3.43981146812439,-2.41676306724548
"DA63214","HR",-6.21788930892944,3.41321277618408,0.498223513364792,0.279648512601852,0.33336478471756,0.706521511077881,2.0119047164917,-1.15375804901123
"DA63216","nonHR",-16.9662437438965,-2.37081742286682,-2.14468288421631,1.02365779876709,3.84765815734863,-0.910563051700592,-0.154849901795387,2.12529993057251
"DA63218","nonHR",6.50363397598267,-0.823099911212921,0.240369990468025,-0.180082902312279,-0.855369329452515,-0.484007507562637,-0.351416885852814,-0.891982614994049
"DA63220","nonHR",9.19498443603516,-1.44996285438538,0.3967265188694,-0.0519016981124878,-1.70265209674835,1.03611588478088,-0.949526309967041,-0.839722335338593
"DA63222","nonHR",9.54734039306641,-1.42678034305573,0.45395815372467,0.0846590399742126,-1.90129292011261,0.815179169178009,-1.00877702236176,-0.632023513317108
"DA63224","nonHR",11.2199993133545,-1.31894493103027,0.517833054065704,0.0366279371082783,-2.4896399974823,0.67534875869751,-1.7772843837738,-0.00364469178020954
"DA63226","nonHR",6.44333457946777,-0.523491501808167,0.0787481740117073,-0.487910717725754,-1.4486643075943,-1.10089576244354,0.00680711725726724,-0.472871392965317
"DA63228","nonHR",10.7267875671387,-2.69483041763306,1.07618653774261,0.494559943675995,-1.08827650547028,0.401047766208649,-1.95721077919006,-1.11734402179718
"DA63230","nonHR",6.10973739624023,-0.683445334434509,-0.0712288692593575,-0.26644042134285,-1.33519947528839,-0.801126480102539,0.166387468576431,0.0129913380369544
