"strain","sulfonamide.resistant.sul","TEM.beta.lactamase","ampC.type.beta.lactamase","APH3","trimethoprim.resistant.dihydrofolate.reductase.dfr","streptothricin.acetyltransferase.SAT","ANT3","CTX.M.beta.lactamase","chloramphenicol.acetyltransferase.CAT","AAC3","AAC6.Ib.cr","OXA.beta.lactamase","ANT2","fosfomycin.thiol.transferase","SHV.beta.lactamase","tetracycline.resistant.ribosomal.protection.protein","APH6","macrolide.phosphotransferase.MPH","quinolone.resistance.protein.qnr"
"DA63658",0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"DA63660",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63662",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63664",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63666",2,1,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"DA63668",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63670",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63672",1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"DA63674",1,1,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0
"DA63678",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63680",2,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0
"DA63682",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63684",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63686",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63690",1,2,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
"DA63692",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63694",0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63696",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63698",1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63700",1,1,3,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
"DA63702",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63704",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63706",2,0,1,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
