"strain","ampC","DFR","APH6","APH3.1","SUL","TEM","SAT","ANT3","MPH","APH3.2","CTX.M","CAT","AAC3","OXA","AAC6","ANT2","FTT","SHV","TR.RPP","APH4","QNR"
"DA63236",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"DA63238",3,1,1,1,2,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"DA63240",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63242",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63244",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63246",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63248",1,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63250",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63252",3,1,2,2,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"DA63254",2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63256",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63258",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63260",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63262",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63264",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63266",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63268",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63270",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63272",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63274",3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63276",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63278",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63282",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63284",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63286",1,1,1,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63288",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63290",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63292",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA63294",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63296",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63298",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA63300",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63302",2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"DA63304",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63306",2,1,1,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"DA63310",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63312",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63314",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63316",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63318",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63320",1,1,1,1,1,1,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0
"DA63322",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DA63324",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63326",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63328",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63330",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63332",3,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"DA63334",3,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63336",2,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"DA63338",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63340",3,0,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"DA63342",1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0
"DA63344",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63346",2,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63348",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63350",1,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63352",2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA63356",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63360",2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63362",2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"DA63366",3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"DA63368",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63374",3,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63380",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63382",2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63570",3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63580",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63586",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63588",3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63594",1,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63596",3,1,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63598",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63608",3,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"DA63612",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63626",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63640",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63642",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63644",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63648",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA63652",3,1,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63654",1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"DA63656",2,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63658",2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63660",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63662",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63668",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63670",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63672",2,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63676",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63678",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63680",1,1,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"DA63682",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63684",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63686",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63688",3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63690",1,0,1,1,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
"DA63694",1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63696",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63698",3,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63702",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63704",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63706",1,1,1,1,2,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0
"DA63708",3,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63710",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63712",3,1,1,0,2,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
"DA63714",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63718",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63722",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63724",2,1,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"DA63726",1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"DA63728",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63730",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63734",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63738",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63744",3,0,2,2,4,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0
"DA63746",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DA63748",2,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"DA63752",1,0,1,1,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
