"strain","resistance","UMAP1","UMAP2","UMAP3","prediction"
"DA63310","nonHR",12.5177869796753,-5.00489711761475,-3.91114687919617,"COR"
"DA63312","nonHR",-8.1161584854126,-2.40455937385559,6.20700550079346,"COR"
"DA63314","nonHR",-7.32090616226196,-2.52127623558044,6.5950345993042,"COR"
"DA63316","nonHR",-7.68152189254761,-3.05054974555969,6.26000308990479,"COR"
"DA63318","nonHR",-9.85629272460938,-0.988839268684387,5.51048183441162,"COR"
"DA63320","nonHR",12.4108753204346,-4.27978706359863,-3.17680907249451,"COR"
"DA63322","HR",13.484522819519,2.95373797416687,-1.31075191497803,"COR"
"DA63324","nonHR",-9.217209815979,-0.978409349918365,6.219162940979,"COR"
"DA63326","nonHR",12.2695960998535,-4.39238166809082,-3.76886367797852,"COR"
"DA63328","nonHR",13.009467124939,2.92009735107422,-2.09962606430054,"COR"
"DA63330","HR",13.808874130249,3.12650537490845,-2.27469325065613,"COR"
"DA63332","nonHR",12.0047769546509,-4.44231510162354,-3.27273225784302,"COR"
"DA63334","HR",12.6127147674561,2.59892010688782,-1.56571555137634,"COR"
"DA63336","nonHR",-5.29998254776001,-2.32666206359863,0.852817595005035,"COR"
"DA63338","nonHR",-8.2983455657959,-1.73604309558868,4.6119589805603,"COR"
"DA63340","nonHR",-7.35327529907227,-2.34229707717896,4.8104772567749,"COR"
"DA63342","HR",13.8353233337402,-5.32769393920898,-4.59725713729858,"COR"
"DA63344","nonHR",13.0285491943359,-5.68211841583252,-3.95067691802979,"COR"
"DA63346","HR",12.8702716827393,3.26998162269592,-2.12075805664062,"COR"
"DA63348","nonHR",-9.4121265411377,-1.12937152385712,6.64774131774902,"COR"
"DA63350","HR",-2.35465121269226,10.0843887329102,-9.00828838348389,"COR"
"DA63352","nonHR",-5.82226324081421,-1.9759521484375,0.972146689891815,"COR"
"DA63354","nonHR",-4.72264337539673,-2.00240850448608,1.09703063964844,"COR"
"DA63356","nonHR",-8.87773895263672,-1.17685449123383,5.06688356399536,"COR"
"DA63358","nonHR",-9.69281959533691,-1.33837401866913,6.80433511734009,"COR"
"DA63360","HR",-1.90616154670715,10.2977886199951,-9.06640911102295,"COR"
"DA63362","HR",-5.79916620254517,-1.6393518447876,0.957155644893646,"COR"
"DA63364","nonHR",12.8084783554077,-4.12666034698486,-4.21869373321533,"COR"
"DA63366","HR",-2.06054425239563,9.37125492095947,-9.7346134185791,"COR"
"DA63368","nonHR",-5.39830827713013,-1.45957911014557,1.29628217220306,"COR"
"DA63370","nonHR",13.6618194580078,2.72560882568359,-2.36452865600586,"COR"
"DA63372","nonHR",13.2976007461548,3.38372182846069,-2.12905383110046,"COR"
"DA63374","nonHR",-4.77261447906494,-2.47724509239197,1.01987361907959,"COR"
"DA63376","nonHR",13.1611423492432,-5.69840621948242,-4.47634029388428,"COR"
"DA63378","nonHR",-7.20861148834229,-1.11991477012634,4.97937345504761,"COR"
"DA63380","nonHR",-8.95685195922852,-0.89994490146637,6.15491008758545,"COR"
"DA63382","HR",-6.2030086517334,-2.08242225646973,2.68897604942322,"COR"
"DA63384","nonHR",13.0670337677002,-5.74263429641724,-4.11699533462524,"COR"
"DA63568","nonHR",13.2614593505859,-5.77230787277222,-4.38353729248047,"COR"
"DA63570","nonHR",-7.00302219390869,-2.38340020179749,4.99930620193481,"COR"
"DA63572","nonHR",13.0387716293335,3.24143671989441,-2.14478349685669,"COR"
"DA63574","nonHR",-6.91088533401489,-2.96561574935913,6.46726751327515,"COR"
"DA63576","nonHR",13.6110057830811,-5.48517894744873,-4.28165006637573,"COR"
"DA63578","nonHR",13.9531946182251,-4.42467069625854,-3.61879849433899,"COR"
"DA63580","nonHR",-8.9463415145874,-2.75779938697815,5.59411191940308,"COR"
"DA63582","nonHR",-9.62608432769775,-1.22672152519226,6.54632139205933,"COR"
"DA63584","nonHR",14.1300401687622,-4.17258930206299,-4.01202440261841,"COR"
"DA63586","nonHR",13.1128988265991,-4.03561496734619,-4.47725915908813,"COR"
"DA63588","nonHR",-6.67668390274048,-2.63558125495911,5.8851490020752,"COR"
